Orders for: a


Pending orders:
| Name                      |      Type      | Paid? |    Size    |  Price  |   Weight   | ID        |
| hgkgxapvw                 | Truck Delivery | No    | Special    | $153.86 | 186.55 kg  | 603       |
| hgvwllyjpvhmnzdhe         | Parcel         | No    | 338362.90  | $412.21 | 61.54 kg   | 840       |
| hgxpqnjwjmwa              | Truck Delivery | No    | Special    | $50.00  | 87.58 kg   | 32        |
| hhlqqr                    | Truck Delivery | No    | Special    | $284.67 | 295.55 kg  | 33        |
| hhrycqxeyxkoyxag          | Envelope       | No    | 226.90     | $2.00   | 70.33 kg   | 895       |
| hjzefczzzb                | Parcel         | No    | 34122.85   | $112.17 | 65.04 kg   | 45        |
| hldttxsknxteznj           | Parcel         | No    | 4056.47    | $21.76  | 14.76 kg   | 187       |
| hlffbpnsht                | Truck Delivery | No    | Special    | $50.00  | 5.64 kg    | 662       |
| hlhtbofuikwafkcowu        | Envelope       | No    | 174.95     | $2.00   | 64.29 kg   | 255       |
| hlkgoyuxiuwulrhqy         | Truck Delivery | No    | Special    | $223.46 | 244.55 kg  | 952       |
| hlsuqspzggzv              | Parcel         | No    | 136816.10  | $236.05 | 82.69 kg   | 999       |
| hmpoaqyddqrxnvkiya        | Parcel         | No    | 40872.42   | $137.65 | 80.65 kg   | 552       |
| hnefnjhaimuczfsk          | Parcel         | No    | 76762.85   | $163.90 | 72.62 kg   | 42        |
| hnexhuqmjicbmus           | Truck Delivery | No    | Special    | $106.31 | 146.92 kg  | 135       |
| hppxllzwws                | Parcel         | No    | 8208.23    | $106.59 | 81.98 kg   | 670       |
| hpqafipcf                 | Envelope       | No    | 76.64      | $2.00   | 9.67 kg    | 735       |
| hpruwyeopyvcjlnehh        | Truck Delivery | No    | Special    | $235.83 | 254.86 kg  | 923       |
| hqghumeaylnlfdxfircvscxgg | Envelope       | No    | 651.12     | $6.09   | 87.16 kg   | 0         |
| hrjpshxu                  | Parcel         | No    | 315509.50  | $395.95 | 67.04 kg   | 809       |
| hthmluw                   | Envelope       | No    | 26.13      | $2.00   | 66.04 kg   | 934       |
| hukihcyhdzjjdyvtoxl       | Truck Delivery | No    | Special    | $244.41 | 262.01 kg  | 850       |
| humrgjqm                  | Parcel         | No    | 218760.06  | $274.57 | 46.50 kg   | 162       |
| hvvpaangodnlxhlsxshht     | Envelope       | No    | 457.43     | $4.15   | 47.99 kg   | 441       |
| hwqnqrqpmxujjlo           | Truck Delivery | No    | Special    | $53.49  | 102.91 kg  | 7         |
| hxunrklibvpszznopf        | Envelope       | No    | 67.15      | $2.00   | 43.36 kg   | 299       |
| hzikppsyurtdinrlqvt       | Envelope       | No    | 200.59     | $2.00   | 38.86 kg   | 882       |
| hzlolmcgvruncmawflyqrtb   | Envelope       | No    | 784.30     | $7.42   | 47.91 kg   | 683       |
| iaruhiibujopgr            | Envelope       | No    | 327.64     | $2.85   | 81.34 kg   | 458       |
| iayabjrqgeppxyjsttyzuvl   | Truck Delivery | No    | Special    | $135.23 | 171.02 kg  | 113       |
| idxjodxvippweskza         | Parcel         | No    | 6398.04    | $106.46 | 83.38 kg   | 755       |
| iecrpwinbumvktizkxnr      | Parcel         | No    | 34824.63   | $38.72  | 3.25 kg    | 637       |
| iegqcjtsjhqkmvwzedalkjdv  | Parcel         | No    | 361091.81  | $377.23 | 13.45 kg   | 504       |
| iejrqnrnazcrfhpbjmrfbyqmh | Envelope       | No    | 82.65      | $2.00   | 60.16 kg   | 514       |
| ifklgklrnuwkmsyqcpu       | Parcel         | No    | 1267.10    | $101.04 | 83.15 kg   | 184       |
| igbhzjzujxmmyspnar        | Parcel         | No    | 317247.68  | $415.57 | 81.94 kg   | 56        |
| iggavytlbrrbblygy         | Truck Delivery | No    | Special    | $273.28 | 286.07 kg  | 684       |
| igmtfbourzhmfffs          | Truck Delivery | No    | Special    | $143.43 | 177.86 kg  | 538       |
| ihcyfqzvadtdfyemfqvynbdlr | Truck Delivery | No    | Special    | $50.00  | 39.59 kg   | 526       |
| ihreqgjfwkj               | Envelope       | No    | 267.36     | $2.25   | 33.40 kg   | 68        |
| ihwauroqrdqwcvl           | Envelope       | No    | 498.13     | $4.56   | 87.80 kg   | 193       |
| iispqnzomcwvap            | Parcel         | No    | 5401.67    | $44.28  | 32.40 kg   | 194       |
| iisyzwnhxyfvydfmpdwo      | Parcel         | No    | 3885.76    | $26.06  | 18.48 kg   | 293       |
| ikzoqhzyuzz               | Parcel         | No    | 131382.57  | $215.89 | 70.43 kg   | 1000      |
| ilcjtmafrrourowzsys       | Parcel         | No    | 293101.53  | $319.57 | 22.05 kg   | 775       |
| iljzegblcatmvefqrzxwktnd  | Envelope       | No    | 238.14     | $2.00   | 95.01 kg   | 439       |
| imlhcztctyphmeqdsuyvkkjop | Envelope       | No    | 50.63      | $2.00   | 13.58 kg   | 364       |
| inipbncizockaadalljreqtkh | Envelope       | No    | 814.87     | $7.72   | 63.93 kg   | 257       |
| intjappsxgt               | Truck Delivery | No    | Special    | $285.48 | 296.23 kg  | 706       |
| ioeheoxmiwvpilvovgslwo    | Envelope       | No    | 176.82     | $2.00   | 72.54 kg   | 828       |
| iogvliexdzuzo             | Envelope       | No    | 401.01     | $3.59   | 19.93 kg   | 29        |
| ipomcsijvjvdfev           | Truck Delivery | No    | Special    | $166.70 | 197.25 kg  | 692       |
| ipqzevbyktbvtpwv          | Envelope       | No    | 353.01     | $3.11   | 70.48 kg   | 437       |
| ipyhbbxipbzncwhrbli       | Envelope       | No    | 208.68     | $2.00   | 10.00 kg   | 146       |
| iqjqkbnjhxdkunebqgrizk    | Envelope       | No    | 150.56     | $2.00   | 75.23 kg   | 535       |
| irqvwqquyxpixqireuqam     | Envelope       | No    | 111.88     | $2.00   | 60.99 kg   | 324       |
| iryaawguvogcdogjfvrlv     | Parcel         | No    | 2467.26    | $30.35  | 23.24 kg   | 921       |
| itdnruzvllhynrm           | Parcel         | No    | 2353.44    | $27.00  | 20.54 kg   | 869       |
| iumvefm                   | Envelope       | No    | 479.89     | $4.37   | 60.95 kg   | 761       |
| iuzteyctm                 | Envelope       | No    | 691.14     | $6.49   | 77.82 kg   | 407       |
| ivdrcygurqdre             | Envelope       | No    | 25.48      | $2.00   | 41.95 kg   | 70        |
| ivfedkjigavyxjveqvrb      | Envelope       | No    | 28.00      | $2.00   | 1.42 kg    | 145       |
| ivifyaxlhwabbsw           | Truck Delivery | No    | Special    | $130.65 | 167.21 kg  | 656       |
| ivovxmrawzswpfncnfyt      | Truck Delivery | No    | Special    | $117.53 | 156.27 kg  | 573       |
| ivshvkahc                 | Envelope       | No    | 33.47      | $2.00   | 85.44 kg   | 988       |
| iwkbarxbgfcbceyhjugixwtbv | Truck Delivery | No    | Special    | $50.00  | 35.27 kg   | 36        |
| iwpzyoklmaekfxpqqxmyntp   | Envelope       | No    | 544.95     | $5.02   | 87.44 kg   | 847       |
| ixevkjgvrbqvjqzyhyguhjjgu | Envelope       | No    | 4.16       | $2.00   | 36.93 kg   | 842       |
| ixjsw                     | Envelope       | No    | 1142.15    | $11.00  | 62.24 kg   | 9         |
| iyjhisedolm               | Envelope       | No    | 439.48     | $3.97   | 12.82 kg   | 896       |
| jbipfi                    | Truck Delivery | No    | Special    | $101.21 | 142.67 kg  | 563       |
| jbusmddvcmj               | Truck Delivery | No    | Special    | $192.44 | 218.69 kg  | 719       |
| jccvhhrjvbjtsqdjo         | Parcel         | No    | 6394.10    | $89.11  | 68.93 kg   | 57        |
| jcvpxvpocbvsuye           | Parcel         | No    | 65226.64   | $67.38  | 1.80 kg    | 908       |
| jdvzuhnaczyhep            | Envelope       | No    | 185.03     | $2.00   | 3.83 kg    | 132       |
| jefbfhkz                  | Envelope       | No    | 199.16     | $2.00   | 5.65 kg    | 327       |
| jfnecolocmfhpz            | Envelope       | No    | 220.30     | $2.00   | 61.38 kg   | 435       |
| jfqvbenlerlkyawolvbtyzgew | Parcel         | No    | 9762.78    | $96.13  | 71.98 kg   | 521       |
| jgxwtcklkdao              | Parcel         | No    | 72579.43   | $88.16  | 12.99 kg   | 667       |
| jgxzgyzaovenfvocik        | Parcel         | No    | 40229.95   | $46.50  | 5.23 kg    | 305       |
| jhcgfasdvwjgplbqzjbbllfh  | Envelope       | No    | 60.57      | $2.00   | 96.20 kg   | 631       |
| jhkudnvqzbkatnefulge      | Envelope       | No    | 59.26      | $2.00   | 0.88 kg    | 310       |
| jikvpaudvkxg              | Truck Delivery | No    | Special    | $121.07 | 159.22 kg  | 283       |
| jjdxvtouhhxg              | Envelope       | No    | 22.82      | $2.00   | 1.36 kg    | 997       |
| jjnehrykxjzubuacclfkc     | Parcel         | No    | 47342.72   | $78.89  | 26.29 kg   | 126       |
| jjxcknixfeipbn            | Parcel         | No    | 107097.37  | $201.34 | 78.54 kg   | 894       |
| jkpxinovgzdthunwoo        | Envelope       | No    | 238.07     | $2.00   | 22.57 kg   | 103       |
| jlsojtrxhwmhlvbypec       | Truck Delivery | No    | Special    | $54.53  | 103.77 kg  | 211       |
| johqsswtorckq             | Parcel         | No    | 61111.26   | $169.45 | 90.29 kg   | 227       |
| jorawurhjo                | Parcel         | No    | 123316.43  | $208.36 | 70.87 kg   | 482       |
| jotyozimg                 | Parcel         | No    | 128.03     | $110.72 | 92.16 kg   | 992       |
| jplwzfmj                  | Parcel         | No    | 188931.93  | $235.89 | 39.13 kg   | 296       |
| jprseqwrdwsvyncgfrazza    | Envelope       | No    | 204.68     | $2.00   | 6.53 kg    | 374       |
| jqhbjmjy                  | Parcel         | No    | 40743.70   | $48.91  | 6.81 kg    | 676       |
| jqhfgimwjgrjvq            | Parcel         | No    | 25623.59   | $82.08  | 47.04 kg   | 584       |
| jrrhehsresfczwazw         | Truck Delivery | No    | Special    | $116.07 | 155.05 kg  | 1022      |
| jrrwbwhmqhzkhdkcrfvb      | Parcel         | No    | 269921.31  | $361.24 | 76.09 kg   | 149       |
| jshymdovwgefhjes          | Truck Delivery | No    | Special    | $55.82  | 104.84 kg  | 167       |
| jsjavwauxp                | Truck Delivery | No    | Special    | $261.81 | 276.51 kg  | 131       |
| jskkvfxahhjmbo            | Truck Delivery | No    | Special    | $171.62 | 201.35 kg  | 91        |
| jtmrcjivhsytnwm           | Truck Delivery | No    | Special    | $163.56 | 194.63 kg  | 467       |
| jvxkhc                    | Parcel         | No    | 8775.51    | $62.93  | 45.13 kg   | 565       |
| jyecsld                   | Parcel         | No    | 61129.02   | $100.92 | 33.16 kg   | 282       |
| jyhdwixbi                 | Parcel         | No    | 34232.83   | $132.76 | 82.11 kg   | 1019      |
| jylqvuizf                 | Parcel         | No    | 396211.68  | $427.50 | 26.08 kg   | 438       |
| jzatfsnhtniwlwsdf         | Parcel         | No    | 108192.28  | $190.65 | 68.72 kg   | 645       |
| jzbdwkbevkgdwubtjvt       | Truck Delivery | No    | Special    | $189.15 | 215.96 kg  | 463       |
| kcfgqmyhj                 | Parcel         | No    | 12632.73   | $51.04  | 32.00 kg   | 270       |
| kchgoalg                  | Envelope       | No    | 5.20       | $2.00   | 57.56 kg   | 505       |
| kcweagydmhrp              | Parcel         | No    | 1184.06    | $115.06 | 94.90 kg   | 524       |
| kczyfdum                  | Envelope       | No    | 251.76     | $2.09   | 82.90 kg   | 768       |
| kdarmeqdkxjflkjwnw        | Truck Delivery | No    | Special    | $300.71 | 308.92 kg  | 594       |
| kdbmvhbsnjbtvjtqnbchiwfuq | Truck Delivery | No    | Special    | $68.82  | 115.69 kg  | 332       |
| kdeyhokquwqvwtthhhug      | Envelope       | No    | 253.51     | $2.11   | 76.52 kg   | 256       |
| kdknfaoyzqrqivmedburf     | Parcel         | No    | 23067.10   | $53.13  | 25.05 kg   | 658       |
| kdqtesojacqhnwdag         | Truck Delivery | No    | Special    | $151.46 | 184.55 kg  | 459       |
| kducomlgltlveinncai       | Envelope       | No    | 645.00     | $6.03   | 26.43 kg   | 450       |
| kefutxxibh                | Envelope       | No    | 1328.60    | $12.86  | 69.82 kg   | 250       |
| khkttaxntzzi              | Envelope       | No    | 713.49     | $6.71   | 49.40 kg   | 1018      |
| khoiqkwqdtfjzlpvyzrf      | Truck Delivery | No    | Special    | $59.91  | 108.26 kg  | 1020      |
| khssmv                    | Truck Delivery | No    | Special    | $50.00  | 88.80 kg   | 87        |
| kjqtebichznpprqiswbdhoyn  | Truck Delivery | No    | Special    | $139.25 | 174.38 kg  | 231       |
| kmcwpngfjsa               | Parcel         | No    | 16621.83   | $44.53  | 23.26 kg   | 870       |
| kmfqrmyjfjnhhss           | Truck Delivery | No    | Special    | $203.96 | 228.30 kg  | 63        |
| kmmxtyvoxhfkxopvybjzoxhz  | Parcel         | No    | 105775.30  | $176.85 | 59.23 kg   | 229       |
| knepbho                   | Truck Delivery | No    | Special    | $50.00  | 93.63 kg   | 116       |
| kooekibwayegb             | Envelope       | No    | 120.24     | $2.00   | 12.12 kg   | 942       |
| kpjvozimhxxqhduiqedlngwgo | Envelope       | No    | 200.50     | $2.00   | 85.36 kg   | 365       |
| kplfbyzm                  | Parcel         | No    | 18473.86   | $95.63  | 64.30 kg   | 289       |
| kpvunlgcbnwwvmlqtzzr      | Truck Delivery | No    | Special    | $200.43 | 225.36 kg  | 687       |
| kqnahsjcohx               | Parcel         | No    | 204683.50  | $249.86 | 37.65 kg   | 982       |
| kqqkgpkmssvqkumpod        | Truck Delivery | No    | Special    | $50.00  | 93.98 kg   | 933       |
| krhxgluyryejdjjovcnhlvmk  | Parcel         | No    | 82851.21   | $155.99 | 60.95 kg   | 993       |
| ksefxmuopwrk              | Parcel         | No    | 181243.98  | $189.09 | 6.54 kg    | 779       |
| ksslhlrxlydxvkosaggmpbgz  | Parcel         | No    | 13746.14   | $110.47 | 80.61 kg   | 226       |
| ktchfnctpirnawonydww      | Parcel         | No    | 13712.00   | $14.07  | 0.30 kg    | 234       |
| kvrjbfrj                  | Parcel         | No    | 8724.29    | $127.93 | 99.33 kg   | 204       |
| kvvrgktrerptisizxhrevnx   | Parcel         | No    | 163786.23  | $265.73 | 84.95 kg   | 265       |
| kwcmmtpix                 | Parcel         | No    | 305.28     | $98.54  | 81.87 kg   | 117       |
| kwvnhkebmtdhvygkjis       | Envelope       | No    | 125.51     | $2.00   | 2.93 kg    | 95        |
| kxhoryesugdhtj            | Envelope       | No    | 46.86      | $2.00   | 78.62 kg   | 431       |
| kxzybniehuesblhlpxnpoymje | Truck Delivery | No    | Special    | $216.11 | 238.42 kg  | 616       |
| kyfrllomgvpsnevmidmrpbhe  | Truck Delivery | No    | Special    | $283.76 | 294.79 kg  | 858       |
| kzmhiydlxdjo              | Envelope       | No    | 1046.98    | $10.04  | 46.93 kg   | 394       |
| kztgjhxaunfqjvxi          | Envelope       | No    | 543.38     | $5.01   | 86.75 kg   | 166       |
| laqigesjsqhsjlrglmwanr    | Envelope       | No    | 796.46     | $7.54   | 40.47 kg   | 165       |
| ledhufhwk                 | Parcel         | No    | 316753.37  | $359.10 | 35.29 kg   | 376       |
| lesixrn                   | Truck Delivery | No    | Special    | $50.00  | 23.04 kg   | 387       |
| lfpbnpljvrvi              | Truck Delivery | No    | Special    | $153.05 | 185.88 kg  | 6         |
| lgaziabpmvynehjfk         | Envelope       | No    | 508.16     | $4.66   | 34.32 kg   | 880       |
| lhwuskdnevdcpl            | Truck Delivery | No    | Special    | $81.12  | 125.94 kg  | 154       |
| liwzkbndg                 | Envelope       | No    | 220.91     | $2.00   | 83.12 kg   | 704       |
| ljytihrcqaybnef           | Truck Delivery | No    | Special    | $204.40 | 228.66 kg  | 48        |
| lkoriebsupcp              | Envelope       | No    | 67.97      | $2.00   | 3.66 kg    | 405       |
| lkpnpeelfjm               | Parcel         | No    | 99071.60   | $157.53 | 48.72 kg   | 84        |
| llplxelrdkexdtquvptte     | Parcel         | No    | 57479.92   | $149.53 | 76.70 kg   | 138       |
| llvmtzhfmbezplh           | Parcel         | No    | 18478.40   | $84.93  | 55.38 kg   | 446       |
| lmbrlpy                   | Parcel         | No    | 392436.09  | $495.04 | 85.51 kg   | 960       |
| lmwxwtnuamqelrwbgbijilnhi | Envelope       | No    | 224.01     | $2.00   | 55.32 kg   | 314       |
| lojkoovimi                | Parcel         | No    | 5858.44    | $23.99  | 15.11 kg   | 954       |
| lphnphbwyostmwhsjrqp      | Truck Delivery | No    | Special    | $50.00  | 84.20 kg   | 819       |
| lplkprltgxgibta           | Parcel         | No    | 27441.04   | $98.32  | 59.07 kg   | 678       |
| lqjqgwjofn                | Parcel         | No    | 144129.42  | $213.39 | 57.72 kg   | 492       |
| lrnzrkuxyjpwwmin          | Envelope       | No    | 395.60     | $3.53   | 92.91 kg   | 531       |
| lrpsomafcjykbkp           | Truck Delivery | No    | Special    | $155.19 | 187.66 kg  | 889       |
| lschjagqueh               | Parcel         | No    | 214641.71  | $216.16 | 1.27 kg    | 389       |
| lsctwp                    | Truck Delivery | No    | Special    | $82.43  | 127.02 kg  | 703       |
| lseendu                   | Parcel         | No    | 24321.32   | $45.96  | 18.04 kg   | 473       |
| lsrzihmgzrioqrqetkzfbldj  | Truck Delivery | No    | Special    | $50.00  | 61.40 kg   | 178       |
| lthmoevlwlrxpwpz          | Envelope       | No    | 254.22     | $2.12   | 97.09 kg   | 352       |
| ltjfrqcocqx               | Envelope       | No    | 85.94      | $2.00   | 68.48 kg   | 496       |
| ltkjjzthqilbntcvczvjkuet  | Envelope       | No    | 83.19      | $2.00   | 37.13 kg   | 747       |
| ltlsxbtumilocltgcoz       | Envelope       | No    | 1177.16    | $11.35  | 49.84 kg   | 300       |
| luibjgnqqlfewioa          | Envelope       | No    | 66.86      | $2.00   | 27.45 kg   | 570       |
| lwhgtujrcffovyffkmzcdo    | Parcel         | No    | 8572.26    | $80.57  | 60.00 kg   | 912       |
| lwoikczgb                 | Truck Delivery | No    | Special    | $193.62 | 219.69 kg  | 924       |
| lywpyviqrfrgemkogqvqeh    | Envelope       | No    | 488.91     | $4.46   | 11.13 kg   | 710       |
| lzdfe                     | Parcel         | No    | 96047.94   | $200.75 | 87.26 kg   | 602       |
| lzmjbmweoilejrpksbxee     | Parcel         | No    | 12.73      | $118.17 | 98.47 kg   | 517       |
| lznayxqkqoyzwmyubzazcp    | Truck Delivery | No    | Special    | $168.76 | 198.97 kg  | 53        |
| lzylntrk                  | Parcel         | No    | 2880.63    | $53.06  | 41.82 kg   | 13        |
| mapqvdburjahmtty          | Parcel         | No    | 121400.67  | $197.96 | 63.79 kg   | 711       |
| mbovj                     | Parcel         | No    | 50614.43   | $71.67  | 17.54 kg   | 284       |
| mcgbrr                    | Truck Delivery | No    | Special    | $50.00  | 29.48 kg   | 529       |
| mclzystoxjrsoqfwluehqfr   | Envelope       | No    | 166.20     | $2.00   | 7.92 kg    | 651       |
| mcycfcpyuwkzebcjaedsbvqq  | Parcel         | No    | 18701.08   | $28.52  | 8.19 kg    | 553       |
| mdefrmtwky                | Truck Delivery | No    | Special    | $50.00  | 45.36 kg   | 537       |
| mfdwgpbepeuhg             | Parcel         | No    | 39670.27   | $99.05  | 49.49 kg   | 664       |
| mhecthlegrpunkdm          | Truck Delivery | No    | Special    | $108.64 | 148.86 kg  | 24        |
| mhuyfyqg                  | Parcel         | No    | 5000.54    | $84.59  | 66.33 kg   | 52        |
| mivazxzmcojdhiswk         | Parcel         | No    | 161997.82  | $222.17 | 50.15 kg   | 244       |
| mjcrvbsamzlvztawf         | Parcel         | No    | 525242.93  | $599.36 | 61.77 kg   | 707       |
| mjydaxyjnecxsjj           | Parcel         | No    | 9015.92    | $59.01  | 41.66 kg   | 290       |
| mkcjdzlquodwmuwtidgdphkve | Truck Delivery | No    | Special    | $279.76 | 291.47 kg  | 705       |
| mkktdbnoxw                | Envelope       | No    | 199.96     | $2.00   | 21.35 kg   | 363       |
| mkrnjcokv                 | Envelope       | No    | 599.67     | $5.57   | 60.09 kg   | 415       |
| mkvmhnlcivwhwztzrbxj      | Parcel         | No    | 342501.75  | $393.68 | 42.65 kg   | 385       |
| mlgvxi                    | Parcel         | No    | 154092.37  | $253.65 | 82.97 kg   | 371       |
| mlivzaprotlq              | Envelope       | No    | 695.38     | $6.53   | 12.24 kg   | 480       |
| mlmslebfiiargfmuabizmyqp  | Truck Delivery | No    | Special    | $114.78 | 153.99 kg  | 503       |
| mmuno                     | Envelope       | No    | 34.92      | $2.00   | 6.81 kg    | 827       |
| mnhpqyic                  | Truck Delivery | No    | Special    | $50.00  | 54.72 kg   | 286       |
| moaxv                     | Parcel         | No    | 285980.84  | $337.52 | 42.95 kg   | 571       |
| mqhcalyzvqnkc             | Parcel         | No    | 111347.26  | $130.47 | 15.94 kg   | 427       |
| mqohynqaftunhjfklbkxnj    | Envelope       | No    | 1002.79    | $9.60   | 6.11 kg    | 911       |
| mqrlxvobtw                | Envelope       | No    | 623.46     | $5.81   | 99.80 kg   | 80        |
| mrflspdlqkewyqjftfwah     | Truck Delivery | No    | Special    | $50.00  | 57.61 kg   | 579       |
| mridxpdpqunvkwxrykx       | Parcel         | No    | 96109.78   | $104.08 | 6.65 kg    | 455       |
| mrvznj                    | Parcel         | No    | 47544.32   | $78.81  | 26.05 kg   | 312       |
| mssyghw                   | Envelope       | No    | 28.14      | $2.00   | 38.43 kg   | 393       |
| msszgabdvxil              | Truck Delivery | No    | Special    | $50.00  | 79.36 kg   | 679       |
| muncwireg                 | Truck Delivery | No    | Special    | $285.60 | 296.33 kg  | 674       |
| mvorpjf                   | Truck Delivery | No    | Special    | $233.16 | 252.63 kg  | 125       |
| mvpeibgxff                | Parcel         | No    | 517184.15  | $585.29 | 56.75 kg   | 546       |
| mwghbbancuejvmwgsff       | Envelope       | No    | 697.97     | $6.55   | 27.12 kg   | 522       |
| mwzobiwybxduunfsksrsrt    | Truck Delivery | No    | Special    | $190.32 | 216.94 kg  | 20        |
| mxbzyslv                  | Envelope       | No    | 1229.91    | $11.87  | 62.06 kg   | 548       |
| mziudtsqqozvejnrt         | Truck Delivery | No    | Special    | $230.77 | 250.64 kg  | 337       |
| nbqyxaagibpv              | Envelope       | No    | 32.74      | $2.00   | 26.79 kg   | 379       |
| ncaqptoneqln              | Truck Delivery | No    | Special    | $136.46 | 172.05 kg  | 243       |
| nchogoarhvxtatcjfp        | Truck Delivery | No    | Special    | $306.03 | 313.35 kg  | 832       |
| ncofmnimzcaoimeaxrqec     | Parcel         | No    | 68114.14   | $171.12 | 85.83 kg   | 956       |
| nemwborifsuq              | Envelope       | No    | 325.72     | $2.83   | 12.02 kg   | 86        |
| nfuzeihxyxan              | Truck Delivery | No    | Special    | $270.88 | 284.07 kg  | 543       |
| nfwns                     | Parcel         | No    | 413.16     | $11.90  | 9.58 kg    | 695       |
| nhmivnn                   | Truck Delivery | No    | Special    | $50.00  | 71.77 kg   | 358       |
| njttkn                    | Parcel         | No    | 39279.75   | $76.62  | 31.12 kg   | 410       |
| nkeufdxotogbgxp           | Truck Delivery | No    | Special    | $243.84 | 261.54 kg  | 17        |
| nktti                     | Envelope       | No    | 239.25     | $2.00   | 63.75 kg   | 580       |
| nlqaefzs                  | Parcel         | No    | 36581.54   | $95.83  | 49.38 kg   | 485       |
| nlzosct                   | Parcel         | No    | 160457.25  | $206.40 | 38.29 kg   | 530       |
| nmalpuswib                | Truck Delivery | No    | Special    | $320.94 | 325.79 kg  | 518       |
| nmfmaevmefbabflizedkdzm   | Envelope       | No    | 251.99     | $2.10   | 26.12 kg   | 996       |
| nmogte                    | Parcel         | No    | 345198.75  | $352.36 | 5.97 kg    | 950       |
| nnebavspetvu              | Envelope       | No    | 508.85     | $4.66   | 4.35 kg    | 615       |
| noisgxgfjizqjixivxkflpk   | Parcel         | No    | 130127.35  | $147.49 | 14.47 kg   | 1016      |
| nolsowrmvvjiqswr          | Truck Delivery | No    | Special    | $110.04 | 150.03 kg  | 248       |
| npegbeoiivalofwwtgajhrgpf | Parcel         | No    | 4226.24    | $93.21  | 74.16 kg   | 822       |
| nrlyjiwtmh                | Parcel         | No    | 143206.28  | $172.04 | 24.03 kg   | 228       |
| nsjvwzxssqxnjomuyj        | Envelope       | No    | 523.88     | $4.81   | 24.88 kg   | 163       |
| nspbmew                   | Envelope       | No    | 839.25     | $7.97   | 53.11 kg   | 549       |
| ntdwcldvdxropb            | Truck Delivery | No    | Special    | $50.00  | 35.45 kg   | 92        |
| ntjja                     | Parcel         | No    | 117425.50  | $174.62 | 47.66 kg   | 773       |
| ntrujkuixzvwrtzlnqpzaghsb | Truck Delivery | No    | Special    | $243.20 | 261.00 kg  | 802       |
| nuiexpiisatfnpixojbtsiya  | Truck Delivery | No    | Special    | $61.95  | 109.95 kg  | 980       |
| nupbpkmszdbno             | Parcel         | No    | 151165.40  | $257.86 | 88.91 kg   | 648       |
| nuqfbkooqpowbpufjlhobdwx  | Truck Delivery | No    | Special    | $123.16 | 160.97 kg  | 696       |
| nvcikdvvuotxjrahjyjv      | Envelope       | No    | 166.57     | $2.00   | 72.76 kg   | 892       |
| nwramcadunwugtu           | Parcel         | No    | 17399.08   | $51.62  | 28.52 kg   | 499       |
| nwrwe                     | Truck Delivery | No    | Special    | $50.00  | 12.28 kg   | 510       |
| nyndgcnfjitppmy           | Truck Delivery | No    | Special    | $250.07 | 266.73 kg  | 294       |
| nystpklzlivfhvsj          | Truck Delivery | No    | Special    | $52.11  | 101.76 kg  | 599       |
| nyytkwwqqtmiuu            | Parcel         | No    | 14059.98   | $74.33  | 50.23 kg   | 195       |
| oasrudrnldkl              | Truck Delivery | No    | Special    | $234.94 | 254.11 kg  | 241       |
| obbgqngv                  | Truck Delivery | No    | Special    | $223.46 | 244.55 kg  | 77        |
| obduwbzbdft               | Envelope       | No    | 69.88      | $2.00   | 6.45 kg    | 699       |
| obgwxwtc                  | Parcel         | No    | 83513.65   | $109.12 | 21.34 kg   | 831       |
| obixbbdu                  | Truck Delivery | No    | Special    | $102.78 | 143.99 kg  | 442       |
| ocavmfyhh                 | Envelope       | No    | 11.83      | $2.00   | 96.94 kg   | 909       |
| ocblxjec                  | Truck Delivery | No    | Special    | $50.00  | 8.38 kg    | 444       |
| ocdenqmwilxx              | Parcel         | No    | 3837.56    | $60.71  | 47.40 kg   | 291       |
| oemuvnpppsua              | Truck Delivery | No    | Special    | $191.15 | 217.63 kg  | 23        |
| oeqznb                    | Truck Delivery | No    | Special    | $50.00  | 37.16 kg   | 216       |
| oeunfhdaxphb              | Truck Delivery | No    | Special    | $50.00  | 60.29 kg   | 197       |
| ofisf                     | Envelope       | No    | 167.21     | $2.00   | 39.93 kg   | 124       |
| oglmk                     | Parcel         | No    | 9272.89    | $92.33  | 69.22 kg   | 78        |
| ohnerehw                  | Parcel         | No    | 289557.87  | $349.17 | 49.68 kg   | 930       |
| ojljdpmoxbyuyopqjkztvjgkw | Envelope       | No    | 1020.84    | $9.78   | 50.11 kg   | 168       |
| ojuothwmlvrglfzdzdbtubx   | Parcel         | No    | 222239.59  | $243.98 | 18.12 kg   | 93        |
| olbalez                   | Parcel         | No    | 94446.95   | $204.24 | 91.50 kg   | 509       |
| ollmsqsghmcphelsotflbgsfn | Truck Delivery | No    | Special    | $91.32  | 134.44 kg  | 82        |
| olwjxptxxeumzfwy          | Truck Delivery | No    | Special    | $173.69 | 203.08 kg  | 136       |
| omwnlmbupmktlptndmpdsyd   | Envelope       | No    | 247.97     | $2.05   | 89.76 kg   | 85        |
| opiwpuwczdapdzghavv       | Parcel         | No    | 73692.07   | $177.68 | 86.66 kg   | 247       |
| oqtobqxpaofdmtxhvbbvxnngd | Truck Delivery | No    | Special    | $50.00  | 35.20 kg   | 964       |
| orhticwgsotniggivzal      | Envelope       | No    | 25.90      | $2.00   | 78.72 kg   | 737       |
| orjfnyghhhptzifaw         | Envelope       | No    | 358.67     | $3.16   | 80.79 kg   | 285       |
